run_index	hash_name	hash_value	input_signature	result	artifact
run_01	backlog_semantic_sha256	afc688b1fd2d7fe053c95b3f91b18e8e38cf5f1a1ad4612b9147c7bcc4450f19	mode=contract_only|schema=present|ordering=present|drift=present|artifact=present|acceptance_parity=match|fx_parity=match|acceptance_b1=7/7|fx=9/9	PASS	/Users/artbox/Documents/Repos/LocusQ/Documentation/backlog/bl-039-parameter-relay-spec-generation.md
run_01	qa_semantic_sha256	64f6916d5d0b64030cd3cb47ea751211992f5fa5eda0de2c3f4c192c7191907a	mode=contract_only|schema=present|ordering=present|drift=present|artifact=present|acceptance_parity=match|fx_parity=match|acceptance_b1=7/7|fx=9/9	PASS	/Users/artbox/Documents/Repos/LocusQ/Documentation/testing/bl-039-parameter-relay-spec-generation-qa.md
run_01	acceptance_set_sha256	c8abe494bfc7865f15f463bc6542e5f2dd08d8113917b542301fcb39a295ecb7	mode=contract_only|schema=present|ordering=present|drift=present|artifact=present|acceptance_parity=match|fx_parity=match|acceptance_b1=7/7|fx=9/9	PASS	TestEvidence/bl039_owner_sync_z11_20260317T043154Z_7514/contract_runs/run_01/acceptance_diff.patch
run_01	failure_set_sha256	d5ecc098163b2757e56f4934379e7c4973f87a4157efcf0a0839b797bc00c091	mode=contract_only|schema=present|ordering=present|drift=present|artifact=present|acceptance_parity=match|fx_parity=match|acceptance_b1=7/7|fx=9/9	PASS	TestEvidence/bl039_owner_sync_z11_20260317T043154Z_7514/contract_runs/run_01/failure_diff.patch
run_01	combined_signature_sha256	63ecd45fc4f9acee54d3c83588186a087bebb9fbaf12ac3f3d211e85bc6e6077	mode=contract_only|schema=present|ordering=present|drift=present|artifact=present|acceptance_parity=match|fx_parity=match|acceptance_b1=7/7|fx=9/9	PASS	TestEvidence/bl039_owner_sync_z11_20260317T043154Z_7514/contract_runs/replay_hashes.tsv
run_01	row_signature_sha256	6e970d1f16b69261d2adadd710f7024a0008a0e8b2e96e3c3dda737bd687da24	mode=contract_only|schema=present|ordering=present|drift=present|artifact=present|acceptance_parity=match|fx_parity=match|acceptance_b1=7/7|fx=9/9	PASS	TestEvidence/bl039_owner_sync_z11_20260317T043154Z_7514/contract_runs/replay_hashes.tsv
run_02	backlog_semantic_sha256	afc688b1fd2d7fe053c95b3f91b18e8e38cf5f1a1ad4612b9147c7bcc4450f19	mode=contract_only|schema=present|ordering=present|drift=present|artifact=present|acceptance_parity=match|fx_parity=match|acceptance_b1=7/7|fx=9/9	PASS	/Users/artbox/Documents/Repos/LocusQ/Documentation/backlog/bl-039-parameter-relay-spec-generation.md
run_02	qa_semantic_sha256	64f6916d5d0b64030cd3cb47ea751211992f5fa5eda0de2c3f4c192c7191907a	mode=contract_only|schema=present|ordering=present|drift=present|artifact=present|acceptance_parity=match|fx_parity=match|acceptance_b1=7/7|fx=9/9	PASS	/Users/artbox/Documents/Repos/LocusQ/Documentation/testing/bl-039-parameter-relay-spec-generation-qa.md
run_02	acceptance_set_sha256	c8abe494bfc7865f15f463bc6542e5f2dd08d8113917b542301fcb39a295ecb7	mode=contract_only|schema=present|ordering=present|drift=present|artifact=present|acceptance_parity=match|fx_parity=match|acceptance_b1=7/7|fx=9/9	PASS	TestEvidence/bl039_owner_sync_z11_20260317T043154Z_7514/contract_runs/run_02/acceptance_diff.patch
run_02	failure_set_sha256	d5ecc098163b2757e56f4934379e7c4973f87a4157efcf0a0839b797bc00c091	mode=contract_only|schema=present|ordering=present|drift=present|artifact=present|acceptance_parity=match|fx_parity=match|acceptance_b1=7/7|fx=9/9	PASS	TestEvidence/bl039_owner_sync_z11_20260317T043154Z_7514/contract_runs/run_02/failure_diff.patch
run_02	combined_signature_sha256	63ecd45fc4f9acee54d3c83588186a087bebb9fbaf12ac3f3d211e85bc6e6077	mode=contract_only|schema=present|ordering=present|drift=present|artifact=present|acceptance_parity=match|fx_parity=match|acceptance_b1=7/7|fx=9/9	PASS	TestEvidence/bl039_owner_sync_z11_20260317T043154Z_7514/contract_runs/replay_hashes.tsv
run_02	row_signature_sha256	6e970d1f16b69261d2adadd710f7024a0008a0e8b2e96e3c3dda737bd687da24	mode=contract_only|schema=present|ordering=present|drift=present|artifact=present|acceptance_parity=match|fx_parity=match|acceptance_b1=7/7|fx=9/9	PASS	TestEvidence/bl039_owner_sync_z11_20260317T043154Z_7514/contract_runs/replay_hashes.tsv
run_03	backlog_semantic_sha256	afc688b1fd2d7fe053c95b3f91b18e8e38cf5f1a1ad4612b9147c7bcc4450f19	mode=contract_only|schema=present|ordering=present|drift=present|artifact=present|acceptance_parity=match|fx_parity=match|acceptance_b1=7/7|fx=9/9	PASS	/Users/artbox/Documents/Repos/LocusQ/Documentation/backlog/bl-039-parameter-relay-spec-generation.md
run_03	qa_semantic_sha256	64f6916d5d0b64030cd3cb47ea751211992f5fa5eda0de2c3f4c192c7191907a	mode=contract_only|schema=present|ordering=present|drift=present|artifact=present|acceptance_parity=match|fx_parity=match|acceptance_b1=7/7|fx=9/9	PASS	/Users/artbox/Documents/Repos/LocusQ/Documentation/testing/bl-039-parameter-relay-spec-generation-qa.md
run_03	acceptance_set_sha256	c8abe494bfc7865f15f463bc6542e5f2dd08d8113917b542301fcb39a295ecb7	mode=contract_only|schema=present|ordering=present|drift=present|artifact=present|acceptance_parity=match|fx_parity=match|acceptance_b1=7/7|fx=9/9	PASS	TestEvidence/bl039_owner_sync_z11_20260317T043154Z_7514/contract_runs/run_03/acceptance_diff.patch
