run_id	status_semantic_sha256	scenario_result_sha256	acceptance_parity_sha256	taxonomy_sha256	combined_signature	baseline_signature	signature_match	row_signature	baseline_row_signature	row_match
run_01	182c7655090e5da5d4a2ccdd2f89d5afffd492c1603b1e0842192299fbe7e54c	f175ddf7e0ff54ebea3dbec8c03d9d211bd7efd497c60bdda2b4a63b04059d02	cb186aee253207161e13e2e7b6709be34e709355dae210ddf61fe3fc2e5cc434	aa39ec98da841c23f012f30e2fea82d2f52b300e22193bd7cedbab0bd3db2767	630c547c7424e9e50905b0cd29713b359a56f4598db05853c4dd3dd78906ea72	630c547c7424e9e50905b0cd29713b359a56f4598db05853c4dd3dd78906ea72	1	e9918ae7490d6f7e4373b406b423a2f260f71f34f60c258198b3c6853d879dd7	e9918ae7490d6f7e4373b406b423a2f260f71f34f60c258198b3c6853d879dd7	1
run_02	182c7655090e5da5d4a2ccdd2f89d5afffd492c1603b1e0842192299fbe7e54c	f175ddf7e0ff54ebea3dbec8c03d9d211bd7efd497c60bdda2b4a63b04059d02	cb186aee253207161e13e2e7b6709be34e709355dae210ddf61fe3fc2e5cc434	aa39ec98da841c23f012f30e2fea82d2f52b300e22193bd7cedbab0bd3db2767	630c547c7424e9e50905b0cd29713b359a56f4598db05853c4dd3dd78906ea72	630c547c7424e9e50905b0cd29713b359a56f4598db05853c4dd3dd78906ea72	1	e9918ae7490d6f7e4373b406b423a2f260f71f34f60c258198b3c6853d879dd7	e9918ae7490d6f7e4373b406b423a2f260f71f34f60c258198b3c6853d879dd7	1
run_03	182c7655090e5da5d4a2ccdd2f89d5afffd492c1603b1e0842192299fbe7e54c	f175ddf7e0ff54ebea3dbec8c03d9d211bd7efd497c60bdda2b4a63b04059d02	cb186aee253207161e13e2e7b6709be34e709355dae210ddf61fe3fc2e5cc434	aa39ec98da841c23f012f30e2fea82d2f52b300e22193bd7cedbab0bd3db2767	630c547c7424e9e50905b0cd29713b359a56f4598db05853c4dd3dd78906ea72	630c547c7424e9e50905b0cd29713b359a56f4598db05853c4dd3dd78906ea72	1	e9918ae7490d6f7e4373b406b423a2f260f71f34f60c258198b3c6853d879dd7	e9918ae7490d6f7e4373b406b423a2f260f71f34f60c258198b3c6853d879dd7	1
run_04	182c7655090e5da5d4a2ccdd2f89d5afffd492c1603b1e0842192299fbe7e54c	f175ddf7e0ff54ebea3dbec8c03d9d211bd7efd497c60bdda2b4a63b04059d02	cb186aee253207161e13e2e7b6709be34e709355dae210ddf61fe3fc2e5cc434	aa39ec98da841c23f012f30e2fea82d2f52b300e22193bd7cedbab0bd3db2767	630c547c7424e9e50905b0cd29713b359a56f4598db05853c4dd3dd78906ea72	630c547c7424e9e50905b0cd29713b359a56f4598db05853c4dd3dd78906ea72	1	e9918ae7490d6f7e4373b406b423a2f260f71f34f60c258198b3c6853d879dd7	e9918ae7490d6f7e4373b406b423a2f260f71f34f60c258198b3c6853d879dd7	1
run_05	182c7655090e5da5d4a2ccdd2f89d5afffd492c1603b1e0842192299fbe7e54c	f175ddf7e0ff54ebea3dbec8c03d9d211bd7efd497c60bdda2b4a63b04059d02	cb186aee253207161e13e2e7b6709be34e709355dae210ddf61fe3fc2e5cc434	aa39ec98da841c23f012f30e2fea82d2f52b300e22193bd7cedbab0bd3db2767	630c547c7424e9e50905b0cd29713b359a56f4598db05853c4dd3dd78906ea72	630c547c7424e9e50905b0cd29713b359a56f4598db05853c4dd3dd78906ea72	1	e9918ae7490d6f7e4373b406b423a2f260f71f34f60c258198b3c6853d879dd7	e9918ae7490d6f7e4373b406b423a2f260f71f34f60c258198b3c6853d879dd7	1
