check	result	detail	artifact
BL033-D2-002_replay_hash_stability	PASS	signature_divergence=0 max=0 row_drift=0 max_row_drift=0	TestEvidence/bl033_owner_sync_z11_20260225_200647/lane_runs/replay_hashes.tsv
BL033-D2-001_diagnostics_consistency	PASS	all_runs_reported_pass	TestEvidence/bl033_owner_sync_z11_20260225_200647/lane_runs/validation_matrix.tsv
BL033-D2-003_artifact_schema_complete	PASS	run_level_and_aggregate_complete	TestEvidence/bl033_owner_sync_z11_20260225_200647/lane_runs/validation_matrix.tsv
multi_run_requested	PASS	runs=5	TestEvidence/bl033_owner_sync_z11_20260225_200647/lane_runs/validation_matrix.tsv
multi_run_validation_matrix	PASS	aggregated_runs=5	TestEvidence/bl033_owner_sync_z11_20260225_200647/lane_runs/validation_matrix.tsv
multi_run_replay_hashes	PASS	rows=5	TestEvidence/bl033_owner_sync_z11_20260225_200647/lane_runs/replay_hashes.tsv
lane_result	PASS	all_runs_passed_with_d2_closeout_checks	TestEvidence/bl033_owner_sync_z11_20260225_200647/lane_runs/validation_matrix.tsv
