scenario	result	detail	artifact
airpods_peq_profile_smoke	PASS	profile fixture /Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl059_calibration_integration_smoke_20260307T063250Z_94423/runtime_profiles/airpods_peq_profile_smoke.json loaded and calibrate smoke exited 0	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl059_calibration_integration_smoke_20260307T063250Z_94423/airpods_peq_profile_smoke.log
sony_peq_profile_smoke	PASS	profile fixture /Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl059_calibration_integration_smoke_20260307T063250Z_94423/runtime_profiles/sony_peq_profile_smoke.json loaded and calibrate smoke exited 0	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl059_calibration_integration_smoke_20260307T063250Z_94423/sony_peq_profile_smoke.log
custom_sofa_fir_profile_smoke	PASS	profile fixture /Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl059_calibration_integration_smoke_20260307T063250Z_94423/runtime_profiles/custom_sofa_fir_profile_smoke.json loaded and calibrate smoke exited 0	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl059_calibration_integration_smoke_20260307T063250Z_94423/custom_sofa_fir_profile_smoke.log
profile_unload_recovery	PASS	missing profile override path preserved calibrate smoke exit 0	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl059_calibration_integration_smoke_20260307T063250Z_94423/profile_unload_recovery.log
