check_id	result	detail	artifact
BL076-R1-SM-qa-bl009-headphone-profile-contract-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/smoke_parity_matrix.tsv
BL076-R1-SM-qa-bl018-ambisonic-contract-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/smoke_parity_matrix.tsv
BL076-R1-SM-qa-bl018-profile-matrix-strict-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/smoke_parity_matrix.tsv
BL076-R1-SM-qa-bl052-steam-audio-virtual-surround-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/smoke_parity_matrix.tsv
BL076-R1-SM-qa-bl053-head-tracking-orientation-injection-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/smoke_parity_matrix.tsv
BL076-R1-SM-qa-bl069-rt-safe-preset-pipeline-mac.sh	PASS	lane script exists and is executable	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/smoke_parity_matrix.tsv
BL076-R1-SM-signature-hash	PASS	baseline smoke signature hash=1be1ab8438462d07bf8fa216d6bcf5637fa7e209859b344670d037a4bd6fc71f	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/smoke_parity_matrix.tsv
BL076-R1-SM-module-inventory	PASS	baseline module inventory hash=bdd6f8557c3be65de11cb9a2df764786640f42a3f9e080fc2f59c2783831c485	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/smoke_parity_matrix.tsv
BL076-R1-BP-001	PASS	bridge payload emits snapshotSchema	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/bridge_payload_parity.tsv
BL076-R1-BP-002	PASS	bridge payload emits nativeBridgeDiagnosticsSchema	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl076_spatial_renderer_20260306T211113Z/bridge_payload_parity.tsv
