step	status	detail
init	pass	ts=20260223T032730Z
build_dir	pass	/Users/artbox/Documents/Repos/LocusQ/build_local
nonclap_build_dir	pass	/Users/artbox/Documents/Repos/LocusQ/build_no_clap_check
configure_clap	pass	starting
cmake_configure_clap	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl011_clap_closeout_20260223T032730Z/cmake_configure_clap.log
cmake_build_clap_target	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl011_clap_closeout_20260223T032730Z/cmake_build_clap_target.log
cmake_build_qa_target	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl011_clap_closeout_20260223T032730Z/cmake_build_qa_target.log
cmake_build_standalone_target	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl011_clap_closeout_20260223T032730Z/cmake_build_standalone_target.log
clap_artifact	pass	/Users/artbox/Documents/Repos/LocusQ/build_local/LocusQ_artefacts/Release/CLAP/LocusQ.clap
clap_install_artifact	pass	/Users/artbox/Library/Audio/Plug-Ins/CLAP/LocusQ.clap
standalone_artifact	pass	/Users/artbox/Documents/Repos/LocusQ/build_local/LocusQ_artefacts/Release/Standalone/LocusQ.app
standalone_sync_for_selftest	warn	sync_failed_using_existing_install; log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl011_clap_closeout_20260223T032730Z/standalone_sync_for_selftest.log
standalone_selftest_app	pass	/Users/artbox/Applications/LocusQ.app
qa_binary	pass	/Users/artbox/Documents/Repos/LocusQ/build_local/locusq_qa_artefacts/Release/locusq_qa
tool_clap-info	pass	/Users/artbox/.local/bin/clap-info
tool_clap-validator	pass	/Users/artbox/.local/bin/clap-validator
clap_info	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl011_clap_closeout_20260223T032730Z/clap-info.json
clap_validator	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl011_clap_closeout_20260223T032730Z/clap-validator.txt
qa_smoke_suite	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl011_clap_closeout_20260223T032730Z/qa_smoke_suite.log
qa_phase_2_6_acceptance_suite	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl011_clap_closeout_20260223T032730Z/qa_phase_2_6_acceptance_suite.log
ui_selftest_bl011_try_reused	pass	build=true properties=true clap=false stage=non_clap_instance active=false processing=false transport=false mode=disabled wrapper=Standalone version=0.0.0; selftest_status=pass; artifact=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/locusq_production_p0_selftest_20260223T032004Z.json
ui_selftest_bl011	pass	attempt=1
cmake_configure_nonclap_guard	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl011_clap_closeout_20260223T032730Z/cmake_configure_nonclap_guard.log
cmake_build_nonclap_vst3_guard	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl011_clap_closeout_20260223T032730Z/cmake_build_nonclap_vst3_guard.log
reaper_clap_discovery	pass	reused_artifact=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/reaper_clap_discovery_probe_20260223T023314Z.json; CLAP: LocusQ (Noizefield)
docs_freshness	pass	log=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl011_clap_closeout_20260223T032730Z/docs_freshness.log
summary	pass	report=/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl011_clap_closeout_20260223T032730Z/report.md
