run_id	run_timestamp_utc	scenario_id	status	discontinuity_count	log_file
stage16a_scenario_validation_20260220T230314Z	20260220T230314Z	locusq_emit_dir_spatial_effect	WARN	2999	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/stage16a_scenario_validation_20260220T230314Z/locusq_emit_dir_spatial_effect.log
stage16a_scenario_validation_20260220T230400Z	20260220T230400Z	locusq_emit_dir_spatial_effect	WARN	2999	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/stage16a_scenario_validation_20260220T230400Z/locusq_emit_dir_spatial_effect.log
