check	result	detail	artifact
matching_latency_lt_50ms	PASS	match_latency_ms=0.2139	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl058_selftest_20260317T041922Z_70780/selftest_results.tsv
nearest_neighbor_capture_clear_roundtrip	PASS	ready=ready_to_apply cleared_count=2 applied=applied	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl058_selftest_20260317T041922Z_70780/nearest_neighbor/CalibrationProfile.json
nearest_neighbor_profile_apply	PASS	subject=H7 sofa=sadie2/H7_HRIR.sofa fallback=false	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl058_selftest_20260317T041922Z_70780/nearest_neighbor/CalibrationProfile.json
nearest_neighbor_no_capture_files_persisted	PASS	files=CalibrationProfile.json	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl058_selftest_20260317T041922Z_70780/nearest_neighbor
fallback_subject_capture_clear_roundtrip	PASS	ready=ready_to_apply cleared_count=2 applied=applied	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl058_selftest_20260317T041922Z_70780/fallback_subject/CalibrationProfile.json
fallback_subject_profile_apply	PASS	subject=H3 sofa=sadie2/H3_HRIR.sofa fallback=true	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl058_selftest_20260317T041922Z_70780/fallback_subject/CalibrationProfile.json
fallback_subject_no_capture_files_persisted	PASS	files=CalibrationProfile.json	/Users/artbox/Documents/Repos/LocusQ/TestEvidence/bl058_selftest_20260317T041922Z_70780/fallback_subject
