sheet_id	result	file	detail
sheet_01	PASS	contact_sheets/contact_sheet_01.png	deterministic dry-run contact sheet placeholder generated
sheet_02	PASS	contact_sheets/contact_sheet_02.png	deterministic dry-run contact sheet placeholder generated
