check	result	detail
live_path_round_trip	PASS	spreadMod=0.420000 gainMod=0.170000
gain_transient_separate	PASS	gainTransient=0.750000 gainMod=0.000000
snapshot_guard_no_jump	PASS	spread_delta=0.000000 gain_delta=0.000000
frozen_path_uses_apvts	PASS	spreadDelta=0.250000 atomicValue=0.900000
frozen_to_live_transition	PASS	spreadDelta=0.550000 (expected atomic 0.55, not frozen 0.25)
gain_transient_ignores_freeze	PASS	gainTransient=0.750000 frozen=1
nan_safety_inherited	PASS	spread=0.000000 gain=0.000000 transient=0.000000
pluginval	PASS	strictnessLevel=5
rt_audit	PASS	non_allowlisted=0; triggerAsyncUpdate() allowlisted (AsyncUpdater RT-safe by JUCE contract)
